"telegram_id","balance"
"2098760711","-999999999999"
"6510134426","-14227"
"1999238951","-9899"
"7125020453","-10000"
"7037016153","-15000"
"7158349323","-9992"
"1428396595","-717"
"6828376734","-8658"
"458540422","-767"
"980307072","-558"
"7693516905","-1840"
"6767102317","-631"
"7272052415","-1096"
"6603277401","-9"
"989086760","-71"
"1759696706","-56"
"1555577994","-375"
"6344263882","-1000000"
"7646406761","-10000000"
"5445465230","-39"
"6451003880","-5"
"5129580902","-174"
"550831111","-65"
"1774648969","-109"
"6522387846","-5"
"327492264","-9"
"7048725510","-68"
"2109831157","-45"
"7005065052","-523"
"6418714204","-34"
"663982449","-9"
"1242671636","-999999999999"
"1060274618","-999999999999"
"8005297656","-999999999999"
"6686128552","-999999999999"
"5809657261","-999999999999"
"1255720581","-999999999999"
"1266464573","-999999999999"
"5460848291","-999999999999"
"5717135725","-999999999999"
"6444815203","-999999999999"
"1392173058","-999999999999"
"5024876248","-999999999999"
"5327371433","-999999999999"
"92063345","-999999999999"
"5865848200","-999999999999"
"7767401721","-999999999999"
"7517853767","-999999999999"
"6990985987","-999999999999"
"7185631660","-999999999999"
"1641176373","-999999999999"
"7517909935","-999999999999"
"1078188380","-999999999999"
"8091416679","-999999999999"
"5434501642","-999999999999"
"695531082","-999999999999"
"7973203110","-999999999999"
"1783079907","-999999999999"
"8261013387","-999999999999"
"414113541","-999999999999"
"6458242271","-999999999999"
"7579909849","-999999999999"
"7097426438","-999999999999"
"8304905410","-999999999999"
"838716686","-999999999999"
"7222128342","-999999999999"
"999416334","-999999999999"
"107602504","-999999999999"
"5431744858","-999999999999"
"1209261486","-999999999999"
"1184610266","-999999999999"
"5083645364","-999999999999"
"414928543","-999999999999"
"7705333315","-999999999999"
"8246291467","-999999999999"
"8287242550","-999999999999"
"6351795721","-999999999999"
"1694772444","-999999999999"
"7795579134","-999999999999"
"5134638185","-999999999999"
"7071740232","-999999999999"
"8037586670","-999999999999"
"8243139760","-999999999999"
"8271422947","-999999999999"
"5920744726","-999999999999"
"1905142269","-999999999999"
"7263558483","-999999999999"
"6012787966","-999999999999"
"6455193402","-999999999999"
"7016074605","-999999999999"
"6147215234","-999999999999"
"7146292969","-999999999999"
"5929156648","-999999999999"
"697936523","-999999999999"
"2055829296","-999999999999"
"8276825019","-999999999999"
"6470289826","-999999999999"
"6852175783","-999999999999"
"7089284212","-999999999999"
"8326475506","-999999999999"
"7586663630","-999999999999"
"7586751135","-999999999999"
"7977451180","-999999999999"
"1517265284","-999999999999"
"1409368693","-999999999999"
"1408592406","-999999999999"
"2008692066","-999999999999"
"7840580581","-999999999999"
"1124124443","-999999999999"
"7576593052","-999999999999"
"6299330933","-999999999999"
"8123416323","-999999999999"
"8382488185","-999999999999"
"635454178","-999999999999"
"6272058354","-999999999999"
"1920485747","-999999999999"
"8470828063","-999999999999"
"7658973947","-999999999999"
"7102410192","-999999999999"
"6907932523","-999999999999"
"8294135392","-999999999999"
"7668704684","-999999999999"
"7534713553","-999999999999"
"6123375622","-999999999999"
"881292308","-999999999999"
"1263710895","-999999999999"
"8263138233","-999999999999"
"6979133495","-999999999999"
"6659879350","-999999999999"
"7700802520","-999999999999"
"630000439","-999999999999"
"7911295616","-999999999999"
"8380017694","-999999999999"
"6655752555","-999999999999"
"5527705092","-999999999999"
"1203511883","-999999999999"
"7867972550","-999999999999"
"925930245","-999999999999"
"1279750961","-999999999999"
"957650260","-999999999999"
"7205471435","-999999999999"
"5494323974","-999999999999"
"7785038985","-999999999999"
"8265161736","-999999999999"
"1117002051","-999999999999"
"6843987379","-999999999999"
"6080930595","-999999999999"
"8045754806","-999999999999"
"6033909039","-999999999999"
"1167692979","-999999999999"
"1246210906","-999999999999"
"906265925","-999999999999"
"8418983101","-999999999999"
"957583760","-999999999999"
"943297222","-999999999999"
"5685163756","-999999999999"
"1253348850","-999999999999"
"5267050075","-999999999999"
"4816807","-999999999999"
"465159554","-999999999999"
"5094937857","-999999999999"
"8249432789","-999999999999"
"7738331185","-999999999999"
"5148191901","-999999999999"
"7706289920","-999999999999"
"5601889494","-999999999999"
"1077889449","-999999999999"
"7607563850","-999999999999"
"7351586378","-999999999999"
"7205119446","-999999999999"
"384846496","-999999999999"
"5537675053","-999999999999"
"8221169421","-999999999999"
"6786143825","-999999999999"
"668557709","-999999999999"
"7130298880","-999999999999"
"7537734498","-999999999999"
"973089312","-999999999999"
"7968768615","-999999999999"
"1088882875","-999999999999"
"554368541","-999999999999"
"799099447","-999999999999"
"8592713641","-999999999999"
"787767198","-999999999999"
"6763639475","-999999999999"
"8128721727","-999999999999"
"8032308164","-999999999999"
"7402929327","-999999999999"
"8569232957","-999999999999"
"1439824385","-999999999999"
"7837674656","-999999999999"
"5350190326","-999999999999"
"365281279","-999999999999"
"977611315","-999999999999"
"7387480395","-999999999999"
"5109791920","-999999999999"
"7243671853","-999999999999"
"7278082751","-999999999999"
"7398232091","-999999999999"
"7970926391","-999999999999"
"570040296","-999999999999"
"8169224490","-999999999999"
"6435884741","-999999999999"
"1891411470","-999999999999"
"549527298","-999999999999"
"5090044161","-999999999999"
"1264725967","-999999999999"
"7501029552","-999999999999"
"7899711530","-999999999999"
"7709477330","-999999999999"
"7977422815","-999999999999"
"1192468500","-999999999999"
"7806382677","-999999999999"
"5514396979","-999999999999"
"946750339","-999999999999"
"7474471140","-999999999999"
"6222585321","-999999999999"
"8116773722","-999999999999"
"7044196839","-999999999999"
"8351005692","-999999999999"
"6908860189","-999999999999"
"7659566019","-999999999999"
"2020959681","-999999999999"
"7638731443","-999999999999"
"8359877406","-999999999999"
"7130547370","-999999999999"
"1832849620","-999999999999"
"2124114677","-999999999999"
"1863611627","-999999999999"
"6138025282","-999999999999"
"7590765886","-999999999999"
"8571939300","-999999999999"
"7020478829","-999999999999"
"7968012613","-999999999999"
"7021477105","-999999999999"
"6682467713","-999999999999"
"1431579375","-999999999999"
"7775218453","-999999999999"
"6605770274","-999999999999"
"1777939669","-999999999999"
"811696299","-999999999999"
"8293983126","-999999999999"
"5751208543","-999999999999"
"8244842842","-999999999999"
"472165784","-999999999999"
"5389601563","-999999999999"
"7830895672","-999999999999"
"1903057676","-999999999999"
"1199971207","-999999999999"
"7963203016","-999999999999"
"1342735394","-999999999999"
"5406195402","-999999999999"
